tech,variable1,operator1,threshold1,variable2,operator2,threshold2,derating,risk
NUC,wind speed at 10m,>=,30,,,,100,High wind limit
NUC,temperature,>,131,temperature,<=,160,30,High Temperature Derate
NUC,temperature,>,185,,,,100,High Temperature Limit
NUC,temperature,<,-20,,,,100,Low Temperature Limit
NUC,precipitation,>=,0.25,precipitation,<,0.7,5,Possible Flood Risk
NUC,precipitation,>=,0.7,,,,10,Major Flood Risk
GT,wind speed at 10m,>=,26,precipitation,>,0.2,10,Tropical Storm
GT,temperature,>,51,temperature,<=,87,4,Minimal temperature derating
GT,temperature,>,87,temperature,<=,105,11,Mid-low temperature derating
GT,temperature,>,105,temperature,<=,123,18,Mid temperature derating
GT,temperature,>,123,temperature,<=,131,25,Mid-high temperature derating
GT,temperature,>,131,temperature,<=,185,40,High Temperature Derate
GT,temperature,>,185,,,,100,High Temperature Limit
GT,temperature,>=,30,temperature,<,40,9,Low temperature derating (1)
GT,temperature,>=,20,temperature,<,30,18,Low temperature derating (2)
GT,temperature,>=,10,temperature,<,20,27,Low temperature derating (3)
GT,temperature,>=,0,temperature,<,10,33,Low temperature derating (4)
GT,temperature,>=,-20,temperature,<,0,43,Low temperature derating (5)
GT,temperature,<,-20,,,,100,Low Temperature Limit
GT,precipitation,>=,0.25,precipitation,<,0.7,5,Possible Flood Risk
GT,precipitation,>=,0.7,,,,10,Major Flood Risk
CC,wind speed at 10m,>=,26,precipitation,>,2,10,Tropical Storm
CC,temperature,>,51,temperature,<=,87,4,Minimal temperature derating
CC,temperature,>,87,temperature,<=,105,11,Mid-low temperature derating
CC,temperature,>,105,temperature,<=,123,18,Mid temperature derating
CC,temperature,>,123,temperature,<=,131,25,Mid-high temperature derating
CC,temperature,>,131,temperature,<=,185,40,High Temperature Derate
CC,temperature,>=,30,temperature,<,40,9,Low temperature derating (1)
CC,temperature,>=,20,temperature,<,30,18,Low temperature derating (2)
CC,temperature,>=,10,temperature,<,20,27,Low temperature derating (3)
CC,temperature,>=,0,temperature,<,10,33,Low temperature derating (4)
CC,temperature,>=,-20,temperature,<,0,43,Low temperature derating (5)
CC,temperature,<,-20,,,,100,Low Temperature Limit
CC,precipitation,>=,0.25,precipitation,<,0.7,5,Possible Flood Risk
CC,precipitation,>=,0.7,,,,10,Major Flood Risk
ST,wind speed at 10m,>=,26,precipitation,>,0.2,10,Tropical Storm
ST,temperature,>,10,temperature,<=,15,30,Low minimal temperature derating
ST,temperature,>=,0,temperature,<,10,41,Low temperature derating (3)
ST,temperature,>=,-10,temperature,<,0,53,Low temperature derating (4)
ST,temperature,>=,-20,temperature,<,-10,91,Low temperature derating (5)
ST,temperature,>,-50,temperature,<,-20,100,Low Temperature Limit
ST,temperature,>,86,,,,20,High Temperature Derate
ST,precipitation,>=,0.25,precipitation,<,0.7,5,Possible Flood Risk
ST,precipitation,>=,0.7,,,,10,Major Flood Risk
ES,wind speed at 10m,>=,26,precipitation,>,0.2,10,Tropical Storm
ES,temperature,<=,6,,,,100,Low Temperature Limit
ES,temperature,>,6,temperature,<=,42,20,Low Temperature Derate
ES,temperature,>,96,temperature,<=,123,20,High Temperature Derate
ES,temperature,>,123,,,,100,High Temperature Limit
ES,precipitation,>=,0.25,precipitation,<,0.7,5,Possible Flood Risk
ES,precipitation,>=,0.7,,,,10,Major Flood Risk
load,load_base,>=,1,temperature,>,65,100,High (summer) load
load,load_base,>=,1,temperature,<,65,100,High (winter) load
